И&	союз					
СЪЗДА	гл	изъяв	аор гл	3	ед	
ЦРКВЬ#	сущ	uu	вин	ед	ж	
ВО	пред					
ИМR	сущ	men	вин	ед	ср	
ПРЧ(с)ТЫА	прил	тв	род	ед	ж	
ВЛ(Д)ЧЦА	сущ	ja	род	ед	ж	
НШЕА#	мест	м	род	ед	ж	
Z -41						
БЦА#	сущ	ja	род	ед	ж	
Ч(с)ТНАГО	прил	тв	род	ед	м	
ЕR	мест	м	род	ед	ж	
СЪБОРА.	сущ	o	род	ед	м	
В	пред					
Л+(т),	сущ	o	вин	ед	ср	
$S#.	6000					
ЦЛД#.&	934					
И	союз					
ОБЩЕЖИТIЕ	сущ	jo	вин	ед	ср	
СЪСТАВЛRЕТЬ	гл	изъяв	н/б	3	ед	3
ЕЖЕ	мест	м	им	ед	ср	
И	союз					
ДО&НН+#	нар					
БЛГОДАТЬЮ#	сущ	i	тв	ед	ж	
*ХВОЮ#	прил	тв	тв	ед	ж	
ЕСТЬ.	гл	изъяв	н/б	3	ед	5
ПРIИДЕ	гл	изъяв	аор пр	3	ед	
(Ж)&	част					
ПРП(Д)БНЫИ	прил	тв	им	ед	м	
НА	пред					
ПОС+ЩЕНIЕ	сущ	jo	вин	ед	ср	
СЪДРGЖЕБНИКА&	сущ	o	род	ед	м	
СВОЕГW.	мест	м	род	ед	м	
И	союз					
ПОХВАЛИ	гл	изъяв	аор гл	3	ед	
М+СТО,	сущ	o	вин	ед	ср	
И	союз					
ДАСТЬ&	гл	изъяв	аор гл	3	ед	
ЕМG	мест	м	дат	ед	м	
ПРП(Д)БНЫИ	прил	тв	им	ед	м	
ИКОНЫ	сущ	a	вин	мн	ж	
И	союз					
КНИГИ	сущ	a	вин	мн	ж	
ЗОВОМЫ(И)&	прич	тв	наст	вин	ед	м
ПРИЛОГЪ	сущ	o	вин	ед	м	
ИЖЕ	мест	м	им	мн	ж/м	
НН+#	нар					
СU(т)	гл	изъяв	н/б	3	мн	5
ВИДИМЫ.	прич	a	наст	им	мн	ж
ЖИВD&ЩЕ	прич	jo/en	наст	им	мн	м
(Ж)	част					
ДРU(г)	сущ	o	им	ед	м	
ДРDГА 	сущ	o	вин/род	ед	м	
ПОЧИТАШЕ.	гл	изъяв	имп	3	ед	
ПОЖИВЕ	гл	изъяв	аор пр	3	ед	
ЖЕ&	част					
*ГРИГОРIЕ	сущ	jo	им	ед	м	
Л+ТА	сущ	o	им	мн	ср	
ДОВОЛНА	прил	o	им	мн	ср	
СG(т)   	гл	изъяв	н/б	3	мн	5
КЪ	пред					
ГU#	сущ	i/o	дат	ед	м	
W(Т)ИДЕ.&	гл	изъяв	аор пр	3	ед	
И	союз					
ПОЛОЖИША	гл	изъяв	аор гл	3	мн	
МОЩИ	сущ	i	вин	pt	ж	
ЕГО	мест	м	род	ед	м	
ВЪ	пред					
СВОЕ(М)	мест	м	мест	ед	м	
ЕМD	мест	м	дат	ед	м	
МОНА&СТЫР+.	сущ	jo/o 	мест	ед	м	
И	союз					
ПО	пред					
ПРЕСТАВЛЕНIИ	сущ	jo	мест	ед	ср	
СВОЕ(М)	мест	м	мест	ед	ср	
Б+СНА(г)&	прил	тв	вин/род	ед	м	
ИСЦ+ЛИ; 	гл	изъяв	аор гл	3	ед	
W	пред					
СЪТВОРЕНIИ	сущ	jo	мест	ед	ср	
ГРОБА	сущ	o	род	ед	м	
W(Т)	пред					
СТГО#;&	прил	тв	род	ед	м	
ПО	пред					
СЕ(М)	мест	м	мест	ед	ср	
UБW	част					
БЛЖНЫИ#	прил	тв	им	ед	м	
ОЦЪ#	сущ	jo	им	ед	м	
НШЬ#	мест	м	им	ед	м	
ВЪ	пред					
ОНОИ	мест	тв	мест	ед	ж	
ПG&СТЫНИ.	сущ	ja	мест	ед	ж	
ИД+ЖЕ	союз					
СЪЗДАЛЪ	гл	изъяв	прош	м	ед	
ЦРКВЬ#	сущ	uu	вин	ед	ж	
*КР(с)ТЛR&	сущ	jo	род	ед	м	
*IWАННА.	сущ	o	род	ед	м	
