ПОЛОЖЕННО	прич	o	прош	им	ед	ср
ЕСТЬ	гл	изъяв	н/б	3	ед	5
В	пред					
НОВ+(М)&	прил	тв	мест	ед	м	
ЗАКОН+	сущ	о	мест	ед	м	
ЕМU(Ж)	мест	м	дат	ед	м	
ДАНО	прич	o	прош	им	ед	ср
Е(с)	гл	изъяв	н/б	3	ед	5
МНОГО,&	числ	тв	им	ед	ср	
МНОГО	числ	тв	им	ед	ср	
И	союз					
ПРОСИТСR	гл/в	изъяв	н/б	3	ед	4
W(Т)	пред					
НЕГО.	мест	м	род	ед	м	
И	союз					
АП(с)Л&	сущ	о	им	ед	м	
ГЛЕТЬ#	гл	изъяв	н/б	3	ед	3
ЯКО	союз					
ЕП(с)ПИ,	сущ	о	им	мн	м	
ИЕР+И	сущ	jо	им	мн	м	
И	союз					
КНSИ#&	сущ	jo	им	мн	м	
ЛЮ(Д)СТИИ	прил	тв	им 	мн	м	*
ВЕЛИКО	прил	o	вин	ед	ср	
Д+ЛО	сущ	о	вин	ед	ср	
СU(т)	гл	изъяв	перф	3	мн	св
ПРIАЛИ	гл	изъяв	перф	м	мн	пр
СТРО&ИТИ	инф					
ПО	пред					
ПРАВД+,	сущ	а	дат	ед	ж	
И	союз					
ВС+МИ	мест	р/скл	тв	мн	м	
ПЕЩИСR.	инф/в					
Я(к)&	союз					
МНОГЫ	прил	a	вин	мн	ж	
ДША#	сущ	jа	вин	мн	ж	
НЫ	мест	личн	1	дат	мн	
ПОРDЧЕННЫИ	прич	тв	прош	им	мн	ж/м
СU(т)	гл	изъяв	н/б	3	мн	5
ВЕСТИ&	инф					
НА	пред					
БЖIЕ#	прил	jo	вин	ед	ср	
СПСЕНIЕ#.	сущ	jo	вин	ед	ср	
ПРП(Д)БНЫИ	прил	тв	им	ед	м	
(Ж)	част					
ПОДАСТЬ&	гл	изъяв	аор гл	3	ед	
ПО(ДО)БНDЮ	прил 	тв	вин	ед	ж	
ПОЧ(с)ТЬ,	сущ	i	вин	ед	ж	
ЯКW(Ж)	союз					
Л+ПО	нар					
ЕСТЬ	гл	изъяв	н/б	3	ед	5
СА&НОВН+И	прил	тв	дат	ед	ж	
Ч(с)ТИ.	сущ	i	дат	ед	ж	
РЕ(ч),	гл	изъяв	аор пр	3	ед	
ВЪЗМИ	гл	повел	2	ед	1	
ВЛ(Д)КО	сущ	а	зв	ед	м	
W(Т)	пред					
РАБЪ&	сущ	о	род	мн 	м	
СВОИ(Х).	мест	м	род	мн	м	
АРХIЕП(с)ПЪ	сущ	о	им	ед	м	
ЖЕ	част					
ВЗЕМЪ,	прич	jo	прош	им	ед	м
БЛ(с)ВИ	гл	изъяв	аор гл	3	ед	
СТА(г)#	прил	тв	вин/род	ед	м	
Z 50						
И	союз					
БРАТIЮ.	сущ	ja	вин	ед	ж	
И	союз					
ВЪЗВРАТИСR	гл/в	изъяв	аор гл	3	ед	
ВЪ	пред					
СВОИ	мест	м	вин	ед	м	
ГРА(Д):&	сущ	о	вин	ед	м	
В	пред					
Л+(т),	сущ	о	вин	ед	ср	
$S#.	6000					
ЦКЕ#,	925				ж	
О	пред					
*АНFIЛWХIИ;&	сущ	jo	мест	ед	м	
ПО	пред					
ВРЕМЕНИ	сущ	men	мест	ед	ср	
ЖЕ	част					
Н+КОЕ(М),	мест	м	мест	ед	ср	
ПРIИДЕ	гл	изъяв	аор пр	3	ед	
Н+КТО&	мест	тв	им	ед	м	
ИНО(к)	сущ	о	им	ед	м	
W(Т)	пред					
БЛИSЬ	пред					
ПОМОРIА.	сущ	jo	род	ед	ср	
W(Т)	пред					
ВЪСТОЧНАГО&	прил	тв	род	ед	м	
ВЪСХОДА.	сущ	о	род	ед	м	
W(Т)	пред					
ГРАДА	сущ	о	род	ед	м	
*UСТЬЮГА,	сущ	о	род	ед	м	
